facility;county;confirmed;presumed
DAUGHTERS OF SARAH NURSING CENTER;Albany;1;0
HUDSON PARK REHABILITATION AND NURSING CENTER;Albany;1;0
OUR LADY OF MERCY LIFE CENTER;Albany;8;0
SHAKER PLACE REHABILITATION AND NURSING CENTER;Albany;3;0
TERESIAN HOUSE NURSING HOME CO INC;Albany;13;0
THE GRAND REHABILITATION AND NURSING AT GUILDERLAND;Albany;3;0
BAINBRIDGE NURSING & REHABILITATION CENTER;Bronx;4;6
BETH ABRAHAM CENTER FOR REHABILITATION AND NURSING;Bronx;6;15
BRONX CENTER FOR REHABILITATION & HEALTH CARE;Bronx;5;13
BRONX GARDENS REHABILITATION AND NURSING CENTER;Bronx;4;14
BRONX PARK REHABILITATION & NURSING CENTER;Bronx;6;14
BRONXCARE SPECIAL CARE CENTER;Bronx;7;1
CONCOURSE REHABILITATION AND NURSING CENTER, INC;Bronx;7;16
EAST HAVEN NURSING & REHABILITATION CENTER;Bronx;6;7
EASTCHESTER REHABILITATION AND HEALTH CARE CENTER;Bronx;0;2
FIELDSTON LODGE CARE CENTER;Bronx;1;14
FORDHAM NURSING AND REHABILITATION CENTER;Bronx;2;0
GOLD CREST CARE CENTER;Bronx;3;3
GRAND MANOR NURSING & REHABILITATION CENTER;Bronx;3;0
HEBREW HOME FOR THE AGED AT RIVERDALE;Bronx;10;8
HUDSON POINTE AT RIVERDALE CENTER FOR NURSING AND;Bronx;3;11
KINGS HARBOR MULTICARE CENTER;Bronx;48;8
LACONIA NURSING HOME;Bronx;0;8
MANHATTANVILLE HEALTH CARE CENTER;Bronx;4;1
METHODIST HOME FOR NURSING AND REHABILITATION;Bronx;10;0
MORNINGSIDE NURSING AND REHABILITATION CENTER;Bronx;5;11
MORRIS PARK REHABILITATION AND NURSING CENTER;Bronx;3;20
MOSHOLU PARKWAY NURSING & REHABILITATION CENTER;Bronx;0;18
PARK GARDENS REHABILITATION & NURSING CENTER LLC;Bronx;4;2
PELHAM PARKWAY NURSING CARE AND REHABILITATION;Bronx;2;11
PINNACLE MULTICARE NURSING AND REHABILITATION CENTER;Bronx;1;0
PROVIDENCE REST, INC.;Bronx;7;10
